SMILES,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,QED
CN(C)CCOC1=CC2=C(SC3=CC=C(Cl)C=C13)C=CC=C2,1021.0,114,12.47,2.0004981369911174,15.474722514025515,6.777661196811699,3.4870595633885295,331.86800000000005,4.880900000000004,0,3,4,3,0.7918165012526931
CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,759.0,102,15.27,1.9961712661354012,13.195490638172728,6.101275951557094,2.5649296894273723,266.388,3.5328000000000026,1,2,4,3,0.8516371541172786
CN1CCC(CC1)=C1C2=C(CCC3=C1C=CC=C3)SC=C2,819.0,116,3.24,1.9134473390644677,13.29453510543239,5.432798172742178,2.3664491518545576,295.45099999999996,4.374200000000004,0,2,0,4,0.6971894339624279
CCCCN(CCCC)CCC(O)C1=C2C=CC(=CC2=C2C=C(Cl)C=C(Cl)C2=C1)C(F)(F)F,3228.0,170,23.47,2.03418003298527,26.081359574534368,11.263845541956044,6.32855234524097,500.4320000000001,8.644300000000001,1,2,10,3,0.2817693045006755
CNCCCCOC1=C(CC2=CC=CC=C2)C=CC=C1,950.0,92,21.259999999999998,1.9221496145217256,14.60581597222222,8.3865338882283,4.706564056133996,269.38800000000003,3.655800000000003,1,2,8,2,0.7385025989589168
CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1436.0,128,29.54,2.7124078628276305,20.185205615238647,8.996215204344972,4.336144776515299,353.50600000000003,4.654600000000005,0,3,8,2,0.6468185140544594
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(C1=CC=CC=C1)C1=CC=CC=C1,1161.0,124,12.47,1.5709905337644723,14.921147645740815,6.463714555599074,3.0598472025657415,307.437,4.417800000000004,0,2,4,4,0.8289288715670488
CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1044.0,114,20.310000000000002,2.661361390026637,17.424270887888333,7.560773919248965,3.532758370521064,309.45300000000003,4.292000000000004,0,2,7,2,0.7601212787758543
CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1,555.0,96,29.259999999999998,2.1074737181046364,11.299504890713681,4.4649612493444435,1.8880742346082224,238.33399999999997,2.8461000000000007,1,2,1,3,0.7740399810607016
OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2,3090.0,176,29.46,1.3073777809655758,21.38909020246209,8.820025406122275,3.790250392167083,428.5960000000003,5.140000000000005,1,2,8,6,0.3976273688512239
CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12,770.0,106,12.03,2.0462380294045226,13.940059105726002,5.767688568006868,2.460403676879641,306.236,5.179600000000004,1,1,2,3,0.8058613927728191
